"speciesid","gr","count"
105894,elasmobranchii,722
955221,malacostraca,2
1292535,,107
166679,,3
385314,gastropoda,30
114172,,3
345592,,5
165240,,3
229567,,3
545262,gastropoda,8
730564,,2
410793,malacostraca,109
286119,cnidaria,5
790503,,1
396393,,1
140167,gastropoda,154
221539,,1
581809,gastropoda,1
118997,malacostraca,59
130825,annelida,3
285891,cnidaria,23
256701,malacostraca,27
210869,,75
874668,gastropoda,207
287384,cnidaria,2
345658,,8
135169,cnidaria,41
150256,,81
221174,,39
285914,cnidaria,37
157522,annelida,576
275960,actinopterygii,30
121385,,1
274960,actinopterygii,9
555689,,3
414267,,163
258308,malacostraca,2
280322,actinopterygii,6
181239,gastropoda,4
373726,,14
832799,gastropoda,1
744752,gastropoda,48
168961,,5
547308,gastropoda,13
173317,,8
288602,cnidaria,1
275610,actinopterygii,2
165538,,5
314858,actinopterygii,12
573804,,1
594195,gastropoda,288
261726,malacostraca,2
158382,malacostraca,193
341724,,1
280312,actinopterygii,5
827438,,6
158449,malacostraca,16
254308,aves,2526
594206,gastropoda,55
548559,malacostraca,3
417352,,2
278859,actinopterygii,1
398375,actinopterygii,1
150514,,4063
232501,,4
489851,malacostraca,12
137513,annelida,11
124814,,301
597256,,4
703799,gastropoda,4
414247,,13
254455,annelida,12
545361,gastropoda,1
286833,cnidaria,5
181124,,1
218501,actinopterygii,1039
578274,annelida,8
734688,,5
410270,gastropoda,24
219763,actinopterygii,47
120979,,1
549068,malacostraca,119
287169,cnidaria,4
469584,,16
157358,annelida,696
441763,malacostraca,2
277893,actinopterygii,98
735814,,12
514252,malacostraca,3
174826,malacostraca,3
420104,gastropoda,8
421572,malacostraca,170
470505,,10
130933,annelida,1
281995,actinopterygii,1
282794,actinopterygii,1
251376,,1
853118,gastropoda,13
582038,cnidaria,1
100805,cnidaria,86
594355,gastropoda,79
932832,,1
152960,,1
226264,malacostraca,5
410875,gastropoda,1
233447,,736
144903,,22
258909,malacostraca,1
816227,,3
559949,gastropoda,17
395447,malacostraca,5
509587,,21
641199,,2
220753,malacostraca,10
545441,malacostraca,3
581082,gastropoda,2
1307762,malacostraca,3
517856,cnidaria,1
127835,,28
532949,gastropoda,5
597400,gastropoda,3
332642,annelida,11
826542,,1
729774,,1
1355913,,1
167629,,11
247460,malacostraca,3
250937,,6
420330,gastropoda,29
107254,malacostraca,24655
173509,cnidaria,2
250607,,4
372408,,5
414178,,4
232277,,7
279087,actinopterygii,5
881707,malacostraca,4
537017,gastropoda,22
172491,,77
170583,,1
176648,,60
130906,annelida,1032
389509,malacostraca,7
120785,,3
254521,actinopterygii,1309
467287,gastropoda,1
169922,,2
605505,gastropoda,30
218399,actinopterygii,112
279363,actinopterygii,4
338199,annelida,1
288542,cnidaria,24
352302,,3
173177,annelida,8
761819,,1
386820,,3
468195,malacostraca,29
463612,gastropoda,3
247188,malacostraca,2
118066,,11
164741,,23
120914,,2
836300,,19
275396,elasmobranchii,8
257444,malacostraca,17
488217,malacostraca,6
148604,malacostraca,437
283181,actinopterygii,32
418719,,2
212465,,20
331136,annelida,74
1036164,annelida,1
849065,,104
134752,,5
488951,malacostraca,2
607671,gastropoda,4
330344,annelida,2
289914,cnidaria,150
243539,,3
471525,,2
389012,actinopterygii,1
386591,,14
281447,actinopterygii,65
103378,,23
764645,malacostraca,4
145090,,25
250461,,1
142896,,1
1308610,malacostraca,3
220962,,1
259865,malacostraca,19
158739,actinopterygii,20
305800,actinopterygii,4
265880,,8
1039022,cnidaria,1
373710,,1
852974,malacostraca,156
535356,,10
332202,annelida,142
283684,cnidaria,44
906976,,1
266734,,3
135982,,78
129805,annelida,547
277179,actinopterygii,3
277935,actinopterygii,8
281877,actinopterygii,465
441402,malacostraca,3
276070,actinopterygii,29
165452,,4
279804,actinopterygii,14
102297,malacostraca,179
391732,,118
344552,,2
475351,gastropoda,23
158201,cnidaria,1
234912,,1
1030544,,1
196772,,16768
585761,gastropoda,1
160726,,3
377690,malacostraca,1500
1298971,malacostraca,1
165235,,1
514497,malacostraca,20
440399,malacostraca,107
210479,malacostraca,21
392588,malacostraca,1
282129,actinopterygii,10
567449,aves,6944
340724,,2
344027,reptilia,4
471474,,4
366528,malacostraca,5
178180,,3307
557770,malacostraca,3
662063,,55
182088,malacostraca,1
417963,,4
719660,gastropoda,4
281295,actinopterygii,133
466009,,13
434933,gastropoda,1
168248,,7
1068852,annelida,2
225758,aves,400
644698,,3
279486,actinopterygii,11
260416,malacostraca,1
366469,malacostraca,2
819873,gastropoda,34
276218,actinopterygii,3
595665,annelida,2
215878,,5
759171,gastropoda,62
165335,,18
246318,malacostraca,9
126280,actinopterygii,9
208902,malacostraca,2
159236,actinopterygii,49
707665,gastropoda,19
220932,,7
151874,cnidaria,1
159457,,1
1062561,,5
105127,,1
127242,actinopterygii,898
242815,,40
237062,malacostraca,19
1061634,gastropoda,10
513291,,13
558969,,2934
955061,,1
532686,gastropoda,94
273827,actinopterygii,9
329436,annelida,2
515659,malacostraca,35
280620,actinopterygii,135
584858,mammalia,42
762898,malacostraca,12
330328,annelida,27
832795,gastropoda,1
581169,gastropoda,2
366260,malacostraca,2
107638,malacostraca,5
478416,,1
136708,,2
140253,,472
527415,malacostraca,2
286797,cnidaria,500
243525,,389
265792,annelida,1
608257,,1
489273,malacostraca,1
103579,,888
271747,actinopterygii,31
403938,,2
353769,,9
327186,annelida,1
714268,,12
280351,actinopterygii,3
581810,gastropoda,2
212438,,129
712870,actinopterygii,23
167761,,3
422126,malacostraca,12
150239,,28
234477,,3
221004,malacostraca,2
280384,actinopterygii,17
534051,gastropoda,22
870274,,1
364138,,42
496066,,17
460984,,3
476466,gastropoda,1231
483445,,2
507900,,35
382962,malacostraca,38
244241,,27
287297,cnidaria,9
282590,elasmobranchii,4
815846,gastropoda,47
126433,actinopterygii,32231
227677,,1
351955,,5
878139,,11
276689,actinopterygii,7
547122,malacostraca,23
372518,,6
103334,cnidaria,9
150745,,4
280950,elasmobranchii,4
368054,malacostraca,12
440323,malacostraca,34
100875,cnidaria,31
514670,malacostraca,1
273612,actinopterygii,8
232330,,5
334243,annelida,20
1043815,annelida,1
256552,malacostraca,2
428401,gastropoda,92
272485,actinopterygii,1
143507,,6
852995,malacostraca,3
592955,cnidaria,2
280367,actinopterygii,184
273496,actinopterygii,33
216677,gastropoda,253
105575,,5
532717,gastropoda,24
380042,,2
419908,gastropoda,2
444613,malacostraca,1
472116,,26
281722,actinopterygii,1
398975,malacostraca,2
376094,,9
166890,,3
168802,,1
444275,malacostraca,5
392208,malacostraca,38
484608,,2
719487,cnidaria,4
389392,gastropoda,19
712814,actinopterygii,489
283344,cnidaria,3
103180,malacostraca,2
134307,,50
591320,gastropoda,4
1042838,elasmobranchii,946
387809,gastropoda,1
714205,gastropoda,276
865942,annelida,1
244151,,86
1264112,gastropoda,2
388278,gastropoda,1
102166,malacostraca,536
218596,actinopterygii,625
291171,cnidaria,136
105561,,1213
278876,actinopterygii,10
220304,,4263
288349,cnidaria,1
421652,malacostraca,2
433445,gastropoda,1
611666,,2
286898,cnidaria,11
173770,annelida,58
254457,annelida,1
145749,,117
475366,gastropoda,2
110014,,150
442046,malacostraca,126
517010,,2
333364,annelida,39
492397,gastropoda,2
132296,,59
391987,malacostraca,14
872582,cnidaria,1
427575,,1
628596,,7
171648,,2
288890,cnidaria,40
505359,,1
213301,,246
884755,annelida,1
234651,actinopterygii,44
117469,cnidaria,63
379949,,1
138756,gastropoda,82
354318,,4
419678,gastropoda,42
386128,,1
277506,actinopterygii,539
276485,actinopterygii,64
328863,annelida,2
114369,,2
260631,malacostraca,8
212770,actinopterygii,183
210950,,159
259126,malacostraca,9
389381,annelida,1
513373,,26
219974,actinopterygii,76
394316,,32
256636,malacostraca,9
147123,gastropoda,12245
615414,,33
170396,,1
208850,malacostraca,3
869809,cnidaria,6
173455,cnidaria,22
280331,actinopterygii,8
197301,gastropoda,19
175743,,86
159793,actinopterygii,11348
158768,actinopterygii,214
1258644,,1
275823,actinopterygii,121
279221,actinopterygii,27
117899,cnidaria,1
288829,cnidaria,2
181905,malacostraca,2
102478,malacostraca,1
276000,actinopterygii,38
151159,actinopterygii,9775
217820,actinopterygii,250
213766,,2
580903,gastropoda,1
110632,,14
210939,,61
126696,actinopterygii,17
278733,actinopterygii,11
329759,annelida,4
656310,,5
158859,actinopterygii,192
417618,,3
212798,actinopterygii,146
278755,actinopterygii,28
531087,gastropoda,89
412825,,62
135138,cnidaria,130
239685,,4
579994,,13
420705,,154
328914,annelida,39
286067,cnidaria,20
276168,actinopterygii,206
742996,actinopterygii,6
258487,malacostraca,23
217893,actinopterygii,140
580464,gastropoda,3
598239,gastropoda,1
986749,,12
556763,,3
514191,malacostraca,1
250866,,17
728119,,6
522763,,1
558915,gastropoda,3
240427,,4
422572,aves,18
422470,,3
565307,gastropoda,2
284845,cnidaria,5
466915,,5
870355,,2
126748,actinopterygii,178
1026407,,827
493290,,64
104651,,4429
428786,,1
511531,gastropoda,32
575206,gastropoda,11
998038,annelida,1
406955,arachnida,1
243127,,1
216376,gastropoda,12
466097,,3
478461,,2
1036136,,12
708808,gastropoda,3
471910,,12
326669,annelida,5
275123,actinopterygii,7
326339,annelida,4
409026,malacostraca,2
102811,malacostraca,459
247141,malacostraca,6
169865,,3
133172,,3
491505,malacostraca,17
726710,,2
158053,malacostraca,908
510232,malacostraca,5
517865,cnidaria,9
392425,malacostraca,1
444683,malacostraca,51
218748,actinopterygii,95
197213,gastropoda,6
140630,gastropoda,64
329919,annelida,2
597296,,2
328117,annelida,21
219141,actinopterygii,330
345057,,111
549091,malacostraca,6
512166,cnidaria,1
255697,malacostraca,1
290320,cnidaria,64
109954,,2928
272396,actinopterygii,12
168586,,2
234800,actinopterygii,234
272631,actinopterygii,2
496247,,70
218384,actinopterygii,1641
106226,,5
209915,annelida,6
246783,,104
547432,,18
143160,,3
507652,,11
145189,,70
255220,malacostraca,1
290675,cnidaria,3
118694,malacostraca,185
240447,annelida,2
168006,,5
759641,annelida,3
179377,,549
599492,gastropoda,15
840518,,122
280690,actinopterygii,1793
219626,actinopterygii,1692
831968,gastropoda,1
331506,annelida,2
514184,malacostraca,1
105281,,1
514732,malacostraca,3
719745,gastropoda,4
289314,cnidaria,36
377654,malacostraca,314
444941,malacostraca,141
214302,,36
250175,,3
435216,gastropoda,84
275500,actinopterygii,35046
135281,cnidaria,106
407535,gastropoda,5
346186,,2
817423,,4
489642,malacostraca,1
852262,malacostraca,3
412912,,4
1346008,annelida,60
471607,,14
760196,annelida,1
280000,actinopterygii,17
421258,,6
478738,malacostraca,2
398545,actinopterygii,71
216129,,6
354271,,2
594367,gastropoda,2
276940,actinopterygii,1
576240,,947
471387,,3
955271,malacostraca,49
417839,,4
578787,gastropoda,14
1313609,,28
547104,malacostraca,2
367443,malacostraca,33
266494,,10
876830,gastropoda,3
342366,,227
110620,malacostraca,99
133998,,8
550620,malacostraca,14
712507,actinopterygii,67
251021,,45
458539,gastropoda,4
581837,gastropoda,15
105908,elasmobranchii,7641
444057,malacostraca,2
181871,malacostraca,14
652137,,1
107235,malacostraca,849
333702,annelida,171
130441,annelida,6
1335432,gastropoda,5
513411,,13
213005,malacostraca,38
293676,actinopterygii,6
409981,gastropoda,2
127716,,484
729941,malacostraca,10
878853,,2
717940,,5
121255,,46
211497,,9
441637,malacostraca,9
238063,gastropoda,1
220051,actinopterygii,1630
373193,,8
258390,malacostraca,1
126333,actinopterygii,4199
112566,,5
159708,,1
556213,,3
233607,,651
444150,malacostraca,2
279739,actinopterygii,10
535312,,2
413896,gastropoda,1
276094,actinopterygii,375
444108,malacostraca,1
367923,,3
158344,malacostraca,318
226529,malacostraca,39
110229,,3404
597907,gastropoda,3
180408,,3
145766,,10
955285,malacostraca,1
164429,,3
428010,,1
239930,,1
445048,malacostraca,2
815586,cnidaria,4
888639,cnidaria,10
346316,,11
475436,gastropoda,2
136123,malacostraca,1
506989,,2
744244,,4
547563,,2
390390,annelida,1
278188,actinopterygii,471
464361,,51
291660,,29
1023088,annelida,1
226995,malacostraca,6
140099,gastropoda,9
169070,,1
413345,,51
136032,,808
467060,,6
102595,malacostraca,7
1041717,,10
422364,,4
250647,,27
535237,,12
271541,elasmobranchii,26
1259166,,1
743695,malacostraca,1
988351,annelida,18
391433,,43
421156,,116
1014583,actinopterygii,4
586846,,2
290215,cnidaria,6
992971,malacostraca,1
161055,,2
523142,,4
467498,gastropoda,1
289304,cnidaria,8
501777,,18
169941,,3
141529,gastropoda,11
421753,malacostraca,29
275563,actinopterygii,5
514681,malacostraca,5
504305,,8
291042,cnidaria,3
103565,,41
394466,,44
532890,gastropoda,2
523762,gastropoda,7
285520,cnidaria,23
165949,,16
346172,,21
149470,,19
111337,,29
212823,actinopterygii,454
420221,gastropoda,5
171377,,24
988071,gastropoda,5
742835,gastropoda,1
357627,,8
167454,,46
723130,,79
505459,,536
476529,gastropoda,236
742804,gastropoda,3
715216,,6
473913,gastropoda,1
107712,malacostraca,47
237696,malacostraca,2
518410,,3
398977,malacostraca,6
260392,malacostraca,96
120085,malacostraca,20
129033,,1
115723,,151
408138,,2
127453,actinopterygii,1
549239,malacostraca,6
263099,malacostraca,6
962252,,2
509688,gastropoda,4
216056,malacostraca,3
139866,gastropoda,2
1149668,,5
480274,,2
389673,,3
573868,,1
129964,annelida,3577
258627,malacostraca,6
127319,actinopterygii,166
744891,,1
469020,,2
212047,actinopterygii,585
210517,malacostraca,131
899935,,155
419012,,6
134388,,1
471978,,9
514264,malacostraca,6
246364,malacostraca,2
161357,malacostraca,24
247615,malacostraca,10
862950,gastropoda,16
126842,actinopterygii,18
366657,malacostraca,136
113216,,3
244254,,91
125084,,19
178050,,4
130310,annelida,99
112823,,41
228624,,8
165348,,4
237135,malacostraca,2
273621,actinopterygii,92
272101,actinopterygii,20
328150,annelida,5
355168,,3
143541,,4
173018,,384
219222,actinopterygii,116
533804,annelida,11
251444,,3
298381,,16
244054,,8
506118,,5
872812,malacostraca,1
870229,malacostraca,1
547295,gastropoda,47
150505,arachnida,1
149046,,1416
591886,gastropoda,3
514323,malacostraca,6
116955,annelida,2
715865,annelida,4
251351,,8
212673,aves,19
414625,malacostraca,1
547465,,27
121969,,2
1062674,,1
719483,cnidaria,3
284443,cnidaria,2
759882,annelida,23
197347,gastropoda,52
212601,aves,4892
390487,gastropoda,1
255716,malacostraca,2
820785,gastropoda,1
417184,,415
121208,,4
459105,malacostraca,2
431188,gastropoda,4
342693,,1
420171,gastropoda,3
272099,actinopterygii,10
235117,,2
471135,,9
258152,malacostraca,5
273321,actinopterygii,43
471668,,11
373339,,798
137570,annelida,1609
887863,,1
785972,,2
406410,,54
272787,actinopterygii,34
422575,aves,2110
474913,actinopterygii,4
470410,,22
475874,annelida,6
284396,cnidaria,11
118757,malacostraca,89
135485,cnidaria,498
144918,,383
275149,actinopterygii,11
421445,malacostraca,23
489311,malacostraca,1
209001,malacostraca,1
1046757,,12
250632,,3
221178,,1
273506,actinopterygii,4
1347751,cnidaria,4
239173,,567
135009,,1
259877,malacostraca,5
251378,,9
107723,malacostraca,36
177916,,13
103073,malacostraca,2787
237465,malacostraca,2
121201,,2
737238,,1
285636,cnidaria,2
408614,,2
159116,aves,82
458583,,1
256577,malacostraca,13
333346,annelida,15
137307,,1
176249,,1
290975,cnidaria,76
178740,,52
271761,actinopterygii,14
144714,,313
550337,malacostraca,7
1026059,gastropoda,26
331069,annelida,1
478412,gastropoda,5
121174,,9
729974,malacostraca,71
986966,annelida,1
282506,actinopterygii,1
712889,actinopterygii,4
768147,,2
366644,malacostraca,4
272720,actinopterygii,104
121103,,2
249893,,2
210525,malacostraca,2
210942,,126
1347910,cnidaria,11
342071,,6
123048,,1
212209,actinopterygii,2626
531058,gastropoda,17
169559,,46
754202,malacostraca,44
282110,elasmobranchii,4
169755,,2
879088,,8
373003,,8
416888,gastropoda,1
133146,,1
440416,malacostraca,2
471635,,1
165994,,3
119768,,1
333695,annelida,1
122298,,5
1258045,,1
1016079,,1
507307,,4
256496,malacostraca,100
427594,,33
218844,actinopterygii,595
1304820,,1
255040,,182
276586,actinopterygii,5
257386,malacostraca,1
388547,malacostraca,5
411826,malacostraca,96
143270,,1
841760,,1
214087,,12
157292,annelida,1102
467485,gastropoda,3
534814,malacostraca,17
236564,malacostraca,7
172090,,192
593087,cnidaria,5
210093,malacostraca,9
241034,malacostraca,2
257061,malacostraca,1
375016,,2
153458,,1
130147,annelida,358
224242,,4
599046,gastropoda,4
182187,malacostraca,18
723689,,1
217269,malacostraca,18
276662,actinopterygii,244
469181,,1
375392,,1
289785,cnidaria,92
135748,,119
273942,actinopterygii,363
388683,malacostraca,1
289853,cnidaria,13
387682,,16
477689,malacostraca,1
866856,malacostraca,1
280107,actinopterygii,56
113747,,648
926915,,730
392609,malacostraca,46
121816,,1
588048,malacostraca,1
169055,,8
243615,,3
237605,malacostraca,1
261825,malacostraca,1
214846,malacostraca,2
832092,malacostraca,2
219294,actinopterygii,1057
719717,gastropoda,3
390040,malacostraca,2
168859,,6
229953,,4
373186,,30
278592,actinopterygii,11
562630,,2
117832,cnidaria,689
851417,annelida,1
417020,,16
213124,,200
434100,gastropoda,9
152696,,1
460605,,10
377662,malacostraca,31
134104,,47
118626,malacostraca,3
743999,,1
168760,,5
218710,actinopterygii,2250
124097,,119
575827,gastropoda,1
197160,gastropoda,7
207561,malacostraca,20
438200,,2
126593,actinopterygii,538
164958,,3
332804,annelida,1
237487,malacostraca,8
228679,,1
356473,,5
731210,,1
529562,,9
314348,,71
161295,,1
591269,gastropoda,24
251448,,3
169765,,2
158998,actinopterygii,78
217340,elasmobranchii,315
255611,malacostraca,3
920738,,7
242026,,3
419162,,6
145547,,1778
526252,malacostraca,3
124394,,1380
104776,,32
229088,,1
128222,,1
292189,cnidaria,6
100607,,8
144970,,9
360865,,5
211490,,26
250223,,10
232844,,4
274069,actinopterygii,3
157440,,5355
704047,,9
220645,,66
116412,,37
172996,,91
277812,actinopterygii,37
219182,actinopterygii,202
271740,actinopterygii,22
773410,,5
251168,,1
933346,,1
244279,,192
256380,malacostraca,8
181387,,17
275470,actinopterygii,1
441788,malacostraca,10
469844,,53
102883,malacostraca,5
126790,actinopterygii,1
352011,,10
546858,gastropoda,1189
101876,malacostraca,13
505993,,450
207550,malacostraca,5
421262,,9
281837,actinopterygii,1203
285892,cnidaria,2
161206,,1
742780,gastropoda,5
140366,,187
326352,annelida,11
345713,gastropoda,33
579144,malacostraca,1
114046,,85
876579,,6
170008,,4
506314,,32
588391,gastropoda,8
387504,malacostraca,5
236527,malacostraca,1
471327,,1
473829,gastropoda,11
281162,actinopterygii,60
148592,malacostraca,5577
228926,,2
331419,annelida,3
238183,annelida,5
282604,actinopterygii,18
526548,,1
573563,,7
248059,,32
471186,,2
505177,,52
898347,,541
353972,,2
879705,gastropoda,5
474922,actinopterygii,1
706596,gastropoda,10
405853,gastropoda,9
283186,actinopterygii,75
240656,malacostraca,1
420456,gastropoda,4
417177,,783
421004,,48
103759,,355
225238,gastropoda,24
510293,malacostraca,5
122038,,128
272601,actinopterygii,302
467263,gastropoda,6
449123,malacostraca,2
524361,gastropoda,16
159423,actinopterygii,55
143218,,1
461882,,1
157328,,23
417683,,12
445066,malacostraca,12
121942,,1
768167,cnidaria,1
137137,aves,2987
166463,,3
457811,gastropoda,1
411268,cnidaria,110
172096,,3
598475,gastropoda,8
164413,,3
287685,cnidaria,2
878598,malacostraca,19
117915,cnidaria,20
819352,malacostraca,2
280959,actinopterygii,4
219480,actinopterygii,12
380640,,2
514324,malacostraca,19
1313603,,8
196368,,5
169648,,76
357098,,2
1297994,,2
214826,malacostraca,3
150833,,3
511610,gastropoda,1
281151,actinopterygii,115
277280,actinopterygii,1129
168408,,1
452514,malacostraca,1
290078,cnidaria,5
535261,,10
276534,actinopterygii,640
827799,annelida,1
442742,malacostraca,2
231934,arachnida,1
493454,,14
137521,annelida,5
471893,,2
827738,,1
451195,,76
345481,,2071
286924,cnidaria,26
129929,annelida,6
867795,annelida,1
595801,gastropoda,10
163749,,4
236589,malacostraca,109
344261,,4
466380,,234
524262,gastropoda,30
173117,,13
510248,malacostraca,6
475307,gastropoda,6
172700,,188
119801,,2
766545,cnidaria,2
531416,malacostraca,6
237589,,3
419936,gastropoda,10
251319,,9
288050,cnidaria,3
472945,malacostraca,1
331531,annelida,1
219788,actinopterygii,1765
493426,,34
182299,malacostraca,5
207942,gastropoda,62
372472,,8
106257,,3336
218345,actinopterygii,108
440191,malacostraca,3
580530,gastropoda,30
1061539,gastropoda,7
120927,,15
719331,gastropoda,42
1055877,cnidaria,34
259131,malacostraca,3
1019532,actinopterygii,33
218951,actinopterygii,666
395653,,14
437384,gastropoda,116
168877,,3
573425,,2
250776,,38
284973,cnidaria,3
127364,actinopterygii,106
555191,annelida,2
168527,,7
917176,,4
273118,actinopterygii,4
247356,malacostraca,4
592726,,30
276093,actinopterygii,42
573496,,1406
376565,,126
326443,annelida,12
233820,,4
820377,,2
441442,malacostraca,1
209062,malacostraca,2
110172,,12471
257160,malacostraca,8
168151,,12
504988,,1
344208,,1
143446,,1
272235,actinopterygii,11
741372,malacostraca,2
513428,,2
182220,malacostraca,5
274708,actinopterygii,3
135798,,7
217077,gastropoda,14
370836,,19
555715,gastropoda,3
302277,actinopterygii,9
251362,,3
421440,malacostraca,96
122739,,6354
265730,,1
370520,annelida,4
868004,,5
143149,,2
362562,,36
843647,annelida,3
135183,cnidaria,3
291866,cnidaria,6
118932,malacostraca,8
557881,malacostraca,34
118551,malacostraca,5
165724,,16
290666,cnidaria,4
104433,,265
170699,,2
220285,malacostraca,799
421083,annelida,44
181656,malacostraca,1
274969,actinopterygii,1
413998,annelida,1
165748,,1
390517,gastropoda,1
218142,actinopterygii,63
396730,,51
105647,,1
434078,gastropoda,9
473921,gastropoda,6
413445,gastropoda,7
372585,,7
477750,malacostraca,4
108875,,15
459955,,1
284264,cnidaria,1
477491,malacostraca,2
478772,malacostraca,25
149484,,1
107705,malacostraca,17
359835,,16
127249,actinopterygii,3
281914,actinopterygii,78
1030643,,4
332671,annelida,2
292758,malacostraca,13
581354,gastropoda,1
175463,,23
470464,,1
377518,malacostraca,15
277891,actinopterygii,53
282592,elasmobranchii,13
157337,annelida,331
458935,,1
272984,actinopterygii,1
432873,gastropoda,3
661829,,338
100884,cnidaria,8
219781,actinopterygii,17
166652,,3
116174,,1
146714,,28
110588,malacostraca,2
475974,annelida,1
288182,cnidaria,153
214657,,68
559509,,135
257130,malacostraca,1
125386,cnidaria,6
214410,,1
287205,cnidaria,1
513558,,1
241786,,5
102994,malacostraca,2
291655,,14
135293,cnidaria,9
385812,,61
283836,cnidaria,35
282545,actinopterygii,34
289339,cnidaria,14
1329768,gastropoda,1
744147,gastropoda,2
227653,,1
711124,,26
388709,actinopterygii,3
334842,annelida,635
232143,,7
503904,,14
120204,malacostraca,565
100837,cnidaria,1
197493,gastropoda,49
572139,gastropoda,4
118830,malacostraca,1
288974,cnidaria,2
427602,,2
344440,,13
513201,,1
326659,annelida,1
158282,cnidaria,1882
1340198,gastropoda,2
278264,actinopterygii,14
475287,gastropoda,1
466174,,12
110250,,3046
169663,,2
111432,,24
208658,malacostraca,8
197300,gastropoda,1
328768,annelida,23
438732,gastropoda,27
488985,malacostraca,4
469553,,13
240210,,1
174873,annelida,1
509922,gastropoda,2
583572,,2
573223,gastropoda,996
434491,gastropoda,14
398257,elasmobranchii,2
126495,actinopterygii,181
386521,,1
470195,,1
135999,,14
116418,,28
409350,malacostraca,8
236684,,4
214013,,2
220161,malacostraca,13
451353,,7
868904,,1
476513,gastropoda,7
430567,gastropoda,78
367853,gastropoda,114
585689,malacostraca,180
213878,,402
272653,actinopterygii,59
599071,annelida,2
403948,,162
239599,,3
102042,malacostraca,19
100933,cnidaria,126
595325,gastropoda,1
229080,,1
555385,malacostraca,5
547159,malacostraca,87
515247,malacostraca,8
288241,cnidaria,10
547555,malacostraca,1
169433,,12
431763,malacostraca,1
878438,,12
529625,,2
957150,gastropoda,11
491721,malacostraca,5
310945,actinopterygii,26
161027,,1
220244,malacostraca,48
868743,cnidaria,1
120862,,1
361397,,6
514301,malacostraca,1554
282558,actinopterygii,57
160904,,2
367978,,181
508975,,28
134725,,137
237007,malacostraca,4
276861,actinopterygii,9
102020,malacostraca,1
331699,annelida,32
333676,annelida,2
565366,gastropoda,2
884272,annelida,1
720417,,3
820280,gastropoda,3
234229,,1
